id,read1,read2,match,target,time
ctrl1,ENCFF581TMJ,ENCFF395ZYS,ENCFF581TMJ_ENCFF395ZYS,NA,840
ctrl2,ENCFF555XHS,ENCFF425KMQ,ENCFF555XHS_ENCFF425KMQ,NA,840
ctrl3,ENCFF245AIH,ENCFF125QQD,ENCFF245AIH_ENCFF125QQD,NA,780
ctrl4,ENCFF495KBS,ENCFF705OVM,ENCFF495KBS_ENCFF705OVM,NA,780
ctrl5,ENCFF258VWJ,ENCFF705MWK,ENCFF258VWJ_ENCFF705MWK,NA,900
ctrl6,ENCFF546ZDB,ENCFF844HKD,ENCFF546ZDB_ENCFF844HKD,NA,900
ctrl7,ENCFF603ATH,ENCFF012CWC,ENCFF603ATH_ENCFF012CWC,NA,510
ctrl8,ENCFF867SMT,ENCFF090XKR,ENCFF867SMT_ENCFF090XKR,NA,510
ctrl9,ENCFF655VUW,ENCFF663UDY,ENCFF655VUW_ENCFF663UDY,NA,570
ctrl10,ENCFF558JRR,ENCFF046LQG,ENCFF558JRR_ENCFF046LQG,NA,570
ctrl11,ENCFF369KBH,ENCFF227URX,ENCFF369KBH_ENCFF227URX,NA,870
ctrl12,ENCFF402PWB,ENCFF420QHK,ENCFF402PWB_ENCFF420QHK,NA,870
ctrl13,ENCFF814USA,ENCFF546MCO,ENCFF814USA_ENCFF546MCO,NA,870
ctrl14,ENCFF532IUC,ENCFF262LFJ,ENCFF532IUC_ENCFF262LFJ,NA,870
ctrl15,ENCFF930PFW,ENCFF545QDS,ENCFF930PFW_ENCFF545QDS,NA,600
ctrl16,ENCFF698VEE,ENCFF900KJH,ENCFF698VEE_ENCFF900KJH,NA,600
ctrl17,ENCFF127OWY,ENCFF519NDT,ENCFF127OWY_ENCFF519NDT,NA,750
ctrl18,ENCFF520MUS,ENCFF197XLV,ENCFF520MUS_ENCFF197XLV,NA,750
ctrl19,ENCFF733BAP,ENCFF482IMS,ENCFF733BAP_ENCFF482IMS,NA,810
ctrl20,ENCFF015WUN,ENCFF591SXA,ENCFF015WUN_ENCFF591SXA,NA,810
ctrl21,ENCFF794AGX,ENCFF353WDJ,ENCFF794AGX_ENCFF353WDJ,NA,810
ctrl22,ENCFF011YNW,ENCFF155MCT,ENCFF011YNW_ENCFF155MCT,NA,810
ctrl23,ENCFF447ALA,ENCFF331PFQ,ENCFF447ALA_ENCFF331PFQ,NA,540
ctrl24,ENCFF374NSA,ENCFF770IOD,ENCFF374NSA_ENCFF770IOD,NA,540
ctrl25,ENCFF670KUW,ENCFF554JDM,ENCFF670KUW_ENCFF554JDM,NA,720
ctrl26,ENCFF279RVR,ENCFF755DSO,ENCFF279RVR_ENCFF755DSO,NA,720
ctrl27,ENCFF265DFB,ENCFF033UCH,ENCFF265DFB_ENCFF033UCH,NA,720
ctrl28,ENCFF099XHM,ENCFF805CKB,ENCFF099XHM_ENCFF805CKB,NA,630
ctrl29,ENCFF306EUC,ENCFF944EEN,ENCFF306EUC_ENCFF944EEN,NA,630
ctrl30,ENCFF914ITC,ENCFF966SOT,ENCFF914ITC_ENCFF966SOT,NA,690
ctrl31,ENCFF607HMW,ENCFF609EGI,ENCFF607HMW_ENCFF609EGI,NA,690
ctrl32,ENCFF238IEC,ENCFF094YDF,ENCFF238IEC_ENCFF094YDF,NA,660
ctrl33,ENCFF951WVQ,ENCFF611DCG,ENCFF951WVQ_ENCFF611DCG,NA,660
