id,read1,read2,match,target,time
ce1,ENCFF224VGN,ENCFF705WGG,ENCFF224VGN_ENCFF705WGG,fax-1-celegans,50
ce2,ENCFF517DCH,ENCFF586CLU,ENCFF517DCH_ENCFF586CLU,fax-1-celegans,50
ce3,ENCFF115CVW,ENCFF070KMF,ENCFF115CVW_ENCFF070KMF,fax-1-celegans,50
ce4,ENCFF569RRS,ENCFF050NIL,ENCFF569RRS_ENCFF050NIL,fax-1-celegans,550
ce5,ENCFF510KLB,ENCFF527MGW,ENCFF510KLB_ENCFF527MGW,fax-1-celegans,550
ce6,ENCFF236SAC,ENCFF314FUK,ENCFF236SAC_ENCFF314FUK,fax-1-celegans,580
ce7,ENCFF989ZDF,ENCFF821HVH,ENCFF989ZDF_ENCFF821HVH,fax-1-celegans,580
ce8,ENCFF499YKU,ENCFF659YIP,ENCFF499YKU_ENCFF659YIP,ceh-31-celegans,490
ce9,ENCFF773XUP,ENCFF946OYT,ENCFF773XUP_ENCFF946OYT,ceh-31-celegans,490
ce10,ENCFF162SIW,ENCFF272WKV,ENCFF162SIW_ENCFF272WKV,dve-1-celegans,680
ce11,ENCFF622JAW,ENCFF799IJV,ENCFF622JAW_ENCFF799IJV,dve-1-celegans,680
ce12,ENCFF788OGO,ENCFF985TFG,ENCFF788OGO_ENCFF985TFG,blmp-1-celegans,80
ce13,ENCFF200GDN,ENCFF377QRL,ENCFF200GDN_ENCFF377QRL,blmp-1-celegans,80
ce14,ENCFF626WXR,ENCFF688QLY,ENCFF626WXR_ENCFF688QLY,blmp-1-celegans,80
ce15,ENCFF641QVL,ENCFF115TSA,ENCFF641QVL_ENCFF115TSA,elt-4-celegans,650
ce16,ENCFF299ZRM,ENCFF727GDK,ENCFF299ZRM_ENCFF727GDK,elt-4-celegans,650
ce17,ENCFF801BUT,ENCFF343YIH,ENCFF801BUT_ENCFF343YIH,elt-4-celegans,680
ce18,ENCFF952QFD,ENCFF543VGT,ENCFF952QFD_ENCFF543VGT,elt-4-celegans,680
ce19,ENCFF236ZXS,ENCFF588WTZ,ENCFF236ZXS_ENCFF588WTZ,elt-4-celegans,680
ce20,ENCFF282VDU,ENCFF380EUE,ENCFF282VDU_ENCFF380EUE,ces-1-celegans,350
ce21,ENCFF013ZGY,ENCFF138HVO,ENCFF013ZGY_ENCFF138HVO,ces-1-celegans,350
ce22,ENCFF490DLO,ENCFF434FOY,ENCFF490DLO_ENCFF434FOY,elt-4-celegans,850
ce23,ENCFF929KLV,ENCFF938HIT,ENCFF929KLV_ENCFF938HIT,elt-4-celegans,850
ce24,ENCFF273RIY,ENCFF329NJC,ENCFF273RIY_ENCFF329NJC,elt-4-celegans,850
ce25,ENCFF368IHQ,ENCFF325IHF,ENCFF368IHQ_ENCFF325IHF,ceh-18-celegans,650
ce26,ENCFF762SJF,ENCFF011RAJ,ENCFF762SJF_ENCFF011RAJ,ceh-18-celegans,650
ce27,ENCFF119OIH,ENCFF947NDJ,ENCFF119OIH_ENCFF947NDJ,ceh-18-celegans,650
ce28,ENCFF678MYC,ENCFF014WGO,ENCFF678MYC_ENCFF014WGO,ceh-18-celegans,650
ce29,ENCFF598TIT,ENCFF659PYL,ENCFF598TIT_ENCFF659PYL,tbx-7-celegans,50
ce30,ENCFF658ARV,ENCFF032KPY,ENCFF658ARV_ENCFF032KPY,tbx-7-celegans,50
ce31,ENCFF184SVT,ENCFF398IPC,ENCFF184SVT_ENCFF398IPC,tbx-7-celegans,80
ce32,ENCFF055WHS,ENCFF238DWR,ENCFF055WHS_ENCFF238DWR,tbx-7-celegans,80
ce33,ENCFF682YEQ,ENCFF267OWB,ENCFF682YEQ_ENCFF267OWB,tbx-7-celegans,80
ce34,ENCFF766ANH,ENCFF663WRZ,ENCFF766ANH_ENCFF663WRZ,ceh-14-celegans,580
ce35,ENCFF850NJL,ENCFF047ILL,ENCFF850NJL_ENCFF047ILL,ceh-14-celegans,580
ce36,ENCFF028CBT,ENCFF339UCS,ENCFF028CBT_ENCFF339UCS,ceh-14-celegans,680
ce37,ENCFF016IZV,ENCFF792EWK,ENCFF016IZV_ENCFF792EWK,ceh-14-celegans,680
ce38,ENCFF571WWS,ENCFF061SWI,ENCFF571WWS_ENCFF061SWI,ceh-14-celegans,80
ce39,ENCFF777TTF,ENCFF738TWK,ENCFF777TTF_ENCFF738TWK,ceh-14-celegans,80
ce40,ENCFF359YYS,ENCFF258NMK,ENCFF359YYS_ENCFF258NMK,ceh-18-celegans,850
ce41,ENCFF259WVI,ENCFF434CKE,ENCFF259WVI_ENCFF434CKE,ceh-18-celegans,850
ce42,ENCFF134ABA,ENCFF714OSL,ENCFF134ABA_ENCFF714OSL,ceh-18-celegans,850
ce43,ENCFF738GAX,ENCFF779STU,ENCFF738GAX_ENCFF779STU,ceh-18-celegans,850
ce44,ENCFF577YYJ,ENCFF655UHU,ENCFF577YYJ_ENCFF655UHU,blmp-1-celegans,50
ce45,ENCFF593QOK,ENCFF767VXD,ENCFF593QOK_ENCFF767VXD,blmp-1-celegans,50
ce46,ENCFF592EJS,ENCFF638MIU,ENCFF592EJS_ENCFF638MIU,ces-1-celegans,380
ce47,ENCFF735UFL,ENCFF103WPO,ENCFF735UFL_ENCFF103WPO,ces-1-celegans,380
ce48,ENCFF190GVG,ENCFF652RXI,ENCFF190GVG_ENCFF652RXI,ceh-14-celegans,550
ce49,ENCFF537OMI,ENCFF030ZVE,ENCFF537OMI_ENCFF030ZVE,ceh-14-celegans,550
ce50,ENCFF659DDB,ENCFF500YUN,ENCFF659DDB_ENCFF500YUN,ceh-31-celegans,650
ce51,ENCFF495OXK,ENCFF960OZO,ENCFF495OXK_ENCFF960OZO,ceh-31-celegans,650
ce52,ENCFF359EEZ,ENCFF283ZWJ,ENCFF359EEZ_ENCFF283ZWJ,dve-1-celegans,50
ce53,ENCFF938YUH,ENCFF592GGJ,ENCFF938YUH_ENCFF592GGJ,dve-1-celegans,50
ce54,ENCFF105MZT,ENCFF848RGH,ENCFF105MZT_ENCFF848RGH,dve-1-celegans,490
ce55,ENCFF630RQJ,ENCFF642ORW,ENCFF630RQJ_ENCFF642ORW,dve-1-celegans,490
ce56,ENCFF566HKR,ENCFF959JDT,ENCFF566HKR_ENCFF959JDT,ceh-18-celegans,880
ce57,ENCFF567ABN,ENCFF805PNL,ENCFF567ABN_ENCFF805PNL,ceh-18-celegans,880
ce58,ENCFF988FJS,ENCFF572HJC,ENCFF988FJS_ENCFF572HJC,ces-1-celegans,50
ce59,ENCFF282MQD,ENCFF948LNB,ENCFF282MQD_ENCFF948LNB,ces-1-celegans,50
ce60,ENCFF424XOC,ENCFF053RAY,ENCFF424XOC_ENCFF053RAY,dve-1-celegans,520
ce61,ENCFF821AHN,ENCFF826XHG,ENCFF821AHN_ENCFF826XHG,dve-1-celegans,520
ce62,ENCFF419SSX,ENCFF613AFT,ENCFF419SSX_ENCFF613AFT,ceh-18-celegans,50
ce63,ENCFF624CFF,ENCFF741SZF,ENCFF624CFF_ENCFF741SZF,ceh-18-celegans,50
ce64,ENCFF422TDP,ENCFF188VDX,ENCFF422TDP_ENCFF188VDX,ceh-18-celegans,50
ce65,ENCFF716LUX,ENCFF611HAV,ENCFF716LUX_ENCFF611HAV,ceh-18-celegans,50
ce66,ENCFF132GKU,ENCFF781IHU,ENCFF132GKU_ENCFF781IHU,ceh-18-celegans,80
ce67,ENCFF035NPM,ENCFF708QNB,ENCFF035NPM_ENCFF708QNB,ceh-18-celegans,80
ce68,ENCFF325JRK,ENCFF403JND,ENCFF325JRK_ENCFF403JND,blmp-1-celegans,520
ce69,ENCFF097AKI,ENCFF589SRJ,ENCFF097AKI_ENCFF589SRJ,blmp-1-celegans,520
ce70,ENCFF574DWX,ENCFF319JHL,ENCFF574DWX_ENCFF319JHL,tbx-7-celegans,490
