compare,target,time
m60_UW_rep1-m60_UW_rep2_vs_ce1_ce2,fax-1-celegans,50
m60_UW_rep1-m60_UW_rep2_vs_ce12_ce13,blmp-1-celegans,80
m60_UW_rep1-m60_UW_rep2_vs_ce29_ce30,tbx-7-celegans,50
m60_UW_rep1-m60_UW_rep2_vs_ce31_ce32,tbx-7-celegans,80
m60_UW_rep1-m60_UW_rep2_vs_ce38_ce39,ceh-14-celegans,80
m60_UW_rep1-m60_UW_rep2_vs_ce44_ce45,blmp-1-celegans,50
m60_UW_rep1-m60_UW_rep2_vs_ce52_ce53,dve-1-celegans,50
m60_UW_rep1-m60_UW_rep2_vs_ce58_ce59,ces-1-celegans,50
m60_UW_rep1-m60_UW_rep2_vs_ce62_ce63,ceh-18-celegans,50
m60_UW_rep1-m60_UW_rep2_vs_ce64_ce65,ceh-18-celegans,50
m60_UW_rep1-m60_UW_rep2_vs_ce66_ce67,ceh-18-celegans,80
m60_UW_rep1-m60_UW_rep2_vs_ce89_ce90,elt-4-celegans,80
m60_UW_rep1-m60_UW_rep2_vs_ce91_ce92,fax-1-celegans,80
m60_UW_rep1-m60_UW_rep2_vs_ce93_ce94,ces-1-celegans,80
m60_UW_rep1-m60_UW_rep2_vs_ce101_ce102,dve-1-celegans,80
m60_UW_rep1-m60_UW_rep2_vs_ce113_ce114,mec-3-celegans,80
m60_UW_rep1-m60_UW_rep2_vs_ce119_ce120,ceh-31-celegans,50
m60_UW_rep1-m60_UW_rep2_vs_ce121_ce122,ceh-31-celegans,80
m60_UW_rep1-m60_UW_rep2_vs_ce128_ce129,rnt-1-celegans,50
m60_UW_rep1-m60_UW_rep2_vs_ce130_ce131,rnt-1-celegans,50
m60_UW_rep1-m60_UW_rep2_vs_ce132_ce133,rnt-1-celegans,50
m60_UW_rep1-m60_UW_rep2_vs_ce134_ce135,rnt-1-celegans,50
m60_UW_rep1-m60_UW_rep2_vs_ce143_ce144,fkh-10-celegans,50
m60_UW_rep1-m60_UW_rep2_vs_ce147_ce148,fkh-10-celegans,80
m60_UW_rep1-m60_UW_rep2_vs_ce149_ce150,fkh-10-celegans,80
m60_UW_rep1-m60_UW_rep2_vs_ce151_ce152,ceh-14-celegans,50
m60_UW_rep1-m60_UW_rep2_vs_ce153_ce154,elt-4-celegans,50
m60_UW_rep1-m60_UW_rep2_vs_ce169_ce170,ceh-2-celegans,50
m60_UW_rep1-m60_UW_rep2_vs_ce172_ce173,ceh-2-celegans,80
m60_UW_rep1-m60_UW_rep2_vs_ce175_ce176,mab-5-celegans,80
m60_UW_rep1-m60_UW_rep2_vs_ce184_ce185,ceh-30-celegans,80
m60_UW_rep1-m60_UW_rep2_vs_ce186_ce187,ceh-30-celegans,80
m60_UW_rep1-m60_UW_rep2_vs_ce190_ce191,ceh-24-celegans,50
m60_UW_rep1-m60_UW_rep2_vs_ce193_ce194,rnt-1-celegans,80
m60_UW_rep1-m60_UW_rep2_vs_ce209_ce210,ceh-30-celegans,50
m60_UW_rep1-m60_UW_rep2_vs_ce229_ce230,mab-5-celegans,50
m60_UW_rep1-m60_UW_rep2_vs_ce240_ce241,unc-3-celegans,80
m60_UW_rep1-m60_UW_rep2_vs_ce244_ce245,ham-2-celegans,80
m60_UW_rep1-m60_UW_rep2_vs_ce252_ce253,fkh-6-celegans,50
m60_UW_rep1-m60_UW_rep2_vs_ce254_ce255,fkh-6-celegans,50
m60_UW_rep1-m60_UW_rep2_vs_ce262_ce263,unc-86-celegans,50
m60_UW_rep1-m60_UW_rep2_vs_ce264_ce265,unc-86-celegans,50
m60_UW_rep1-m60_UW_rep2_vs_ce278_ce279,sox-4-celegans,80
m60_UW_rep1-m60_UW_rep2_vs_ce284_ce285,mec-3-celegans,50
m60_UW_rep1-m60_UW_rep2_vs_ce291_ce292,lin-11-celegans,50
m60_UW_rep1-m60_UW_rep2_vs_ce293_ce294,lin-11-celegans,80
m60_UW_rep1-m60_UW_rep2_vs_ce318_ce319,zip-5-celegans,50
m60_UW_rep1-m60_UW_rep2_vs_ce320_ce321,zip-5-celegans,50
m60_UW_rep1-m60_UW_rep2_vs_ce338_ce339,hlh-15-celegans,50
m60_UW_rep1-m60_UW_rep2_vs_ce340_ce341,ttx-3-celegans,80
m60_UW_rep1-m60_UW_rep2_vs_ce352_ce353,lim-6-celegans,80
m60_UW_rep1-m60_UW_rep2_vs_ce356_ce357,unc-42-celegans,80
m60_UW_rep1-m60_UW_rep2_vs_ce358_ce359,lim-6-celegans,50
m60_UW_rep1-m60_UW_rep2_vs_ce361_ce362,ttx-3-celegans,50
m60_UW_rep1-m60_UW_rep2_vs_ce374_ce375,ceh-9-celegans,80
m60_UW_rep1-m60_UW_rep2_vs_ce376_ce377,fkh-6-celegans,80
ctrl32-ctrl33_vs_ce379_ce380,unc-42-celegans,650
m60_UW_rep1-m60_UW_rep2_vs_ce387_ce388,sox-4-celegans,50
m60_UW_rep1-m60_UW_rep2_vs_ce394_ce395,ceh-9-celegans,50
m60_UW_rep1-m60_UW_rep2_vs_ce402_ce403,ceh-24-celegans,80
m60_UW_rep1-m60_UW_rep2_vs_ce409_ce410,unc-42-celegans,50
m60_UW_rep1-m60_UW_rep2_vs_ce411_ce412,ham-2-celegans,50
m60_UW_rep1-m60_UW_rep2_vs_ce415_ce416,unc-86-celegans,80
m60_UW_rep1-m60_UW_rep2_vs_ce417_ce418,unc-86-celegans,80
m60_UW_rep1-m60_UW_rep2_vs_ce432_ce433,zip-5-celegans,80
m60_UW_rep1-m60_UW_rep2_vs_ce435_ce436,unc-3-celegans,50
h8_UW_rep1-h8_UW_rep2_vs_ce157_ce158,mab-5-celegans,480
h8_UW_rep1-h8_UW_rep2_vs_ce177_ce178,ceh-2-celegans,480
h8_UW_rep1-h8_UW_rep2_vs_ce179_ce180,ceh-2-celegans,450
h8_UW_rep1-h8_UW_rep2_vs_ce223_ce224,mab-5-celegans,450
h8_UW_rep1-h8_UW_rep2_vs_ce225_ce226,mab-5-celegans,450
h8_UW_rep1-h8_UW_rep2_vs_ce227_ce228,mab-5-celegans,450
h8_UW_rep1-h8_UW_rep2_vs_ce288_ce289,unc-86-celegans,480
h8_UW_rep1-h8_UW_rep2_vs_ce297_ce298,unc-86-celegans,450
h8_UW_rep1-h8_UW_rep2_vs_ce299_ce300,unc-86-celegans,450
h8_UW_rep1-h8_UW_rep2_vs_ce313_ce314,ttx-3-celegans,480
h8_UW_rep1-h8_UW_rep2_vs_ce347_ce348,ttx-3-celegans,450
h6_UW_rep1-h6_UW_rep2_vs_ce20_ce21,ces-1-celegans,350
h6_UW_rep1-h6_UW_rep2_vs_ce46_ce47,ces-1-celegans,380
h6_UW_rep1-h6_UW_rep2_vs_ce212_ce213,ceh-30-celegans,350
h6_UW_rep1-h6_UW_rep2_vs_ce214_ce215,ceh-30-celegans,350
h6_UW_rep1-h6_UW_rep2_vs_ce216_ce217,ceh-30-celegans,350
h6_UW_rep1-h6_UW_rep2_vs_ce218_ce219,ceh-30-celegans,380
h6_UW_rep1-h6_UW_rep2_vs_ce220_ce221,ceh-30-celegans,380
h6_UW_rep1-h6_UW_rep2_vs_ce286_ce287,ham-2-celegans,300
h6_UW_rep1-h6_UW_rep2_vs_ce413_ce414,ham-2-celegans,330
h4_UW_rep1-h4_UW_rep2_vs_ce78_ce79,tbx-7-celegans,250
ctrl7-ctrl8_vs_ce8_ce9,ceh-31-celegans,490
ctrl7-ctrl8_vs_ce54_ce55,dve-1-celegans,490
ctrl7-ctrl8_vs_ce60_ce61,dve-1-celegans,520
ctrl7-ctrl8_vs_ce68_ce69,blmp-1-celegans,520
ctrl7-ctrl8_vs_ce70_ce71,tbx-7-celegans,490
ctrl7-ctrl8_vs_ce72_ce73,tbx-7-celegans,520
ctrl7-ctrl8_vs_ce87_ce88,blmp-1-celegans,490
ctrl7-ctrl8_vs_ce97_ce98,ceh-31-celegans,520
ctrl7-ctrl8_vs_ce110_ce111,rnt-1-celegans,520
ctrl7-ctrl8_vs_ce160_ce161,rnt-1-celegans,490
ctrl7-ctrl8_vs_ce162_ce163,rnt-1-celegans,490
ctrl7-ctrl8_vs_ce164_ce165,rnt-1-celegans,490
ctrl7-ctrl8_vs_ce181_ce182,ceh-30-celegans,490
ctrl7-ctrl8_vs_ce246_ce247,lin-11-celegans,490
ctrl7-ctrl8_vs_ce248_ce249,fkh-6-celegans,520
ctrl7-ctrl8_vs_ce250_ce251,fkh-6-celegans,520
ctrl7-ctrl8_vs_ce269_ce270,ceh-24-celegans,520
ctrl7-ctrl8_vs_ce271_ce272,ceh-24-celegans,520
ctrl7-ctrl8_vs_ce329_ce330,ceh-24-celegans,490
ctrl7-ctrl8_vs_ce332_ce333,lin-11-celegans,520
ctrl7-ctrl8_vs_ce383_ce384,fkh-6-celegans,490
